0,1,2,3,4,5
PWGTP,SOCP,SCHL_RC1,SCHL,PUMA,STATE
316,N,1,13,23304,53
393,N,1,9,23304,53
74,151299,4,21,23304,53
68,272022,4,21,23304,53
59,N,1,11,23304,53
60,113031,2,17,23304,53
64,311122,3,18,23304,53
70,292034,3,19,23304,53
70,353031,3,19,23304,53
59,N,1,11,23304,53
62,251000,5,22,23304,53
51,1191XX,5,22,23304,53
57,113071,5,22,23304,53
58,171011,4,21,23304,53
56,273043,4,21,23304,53
222,1191XX,4,21,23304,53
232,151212,5,22,23304,53
202,N,1,6,23304,53
177,N,1,3,23304,53
60,1191XX,4,21,23304,53
61,1191XX,4,21,23304,53
75,412031,4,21,23304,53
104,151252,4,21,23304,53
83,412031,3,19,23304,53
120,537062,1,14,23304,53
120,N,1,12,23304,53
94,N,1,10,23304,53
95,N,1,9,23304,53
95,N,1,7,23304,53
94,N,1,5,23304,53
116,N,1,3,23304,53
123,N,1,1,23304,53
124,N,1,0,23304,53
124,N,1,0,23304,53
208,113021,4,21,23304,53
204,259040,4,21,23304,53
80,N,2,17,23304,53
161,N,1,10,23304,53
331,1191XX,4,21,23304,53
485,412010,1,13,23304,53
385,N,1,3,23304,53
121,112021,4,21,23304,53
118,1191XX,4,21,23304,53
63,1191XX,4,20,23304,53
72,537062,1,12,23304,53
27,N,5,23,23304,53
80,151252,5,22,23304,53
295,151252,5,22,23304,53
292,151252,5,22,23304,53
55,N,4,21,23304,53
61,N,4,21,23304,53
117,2310XX,5,23,23304,53
135,1191XX,3,19,23304,53
24,419020,4,21,23304,53
26,1191XX,2,16,23304,53
41,119041,5,23,23304,53
34,132011,5,22,23304,53
41,271010,4,21,23304,53
181,132052,5,24,23304,53
142,2530XX,1,14,23304,53
141,259040,2,16,23304,53
204,N,1,8,23304,53
55,492020,4,21,23304,53
61,N,5,22,23304,53
61,1110XX,5,22,23304,53
66,N,3,18,23304,53
68,N,1,7,23304,53
56,N,1,4,23304,53
60,299000,5,24,23304,53
61,1191XX,5,22,23304,53
41,392021,1,14,23304,53
26,493050,1,14,23304,53
47,113021,5,22,23304,53
33,411011,5,24,23304,53
